"","varaible","Date","URL"
"1","Monthly dwelling commencement notices","2024-05-16","https://www.gov.ie/en/publication/a5cb1-construction-activity-starts/"
"2","Daft research report","2024-05-20","https://ww1.daft.ie/report?d_rd=1"
"3","Credit union consumer sentiment","Irish Consumer Mood weakens again in May","https://www.creditunion.ie/news/consumer-sentiment-index/consumer-sentiment-index-roi/"
