"","Date","Energy Growth","Electricity","Gas","Liquid Fuel","Solid Fuels","Fuels & Lubricants for personal transport"
"2019-01-01",2019-01-01,1.6864547381449,0.993100025040751,0.700766994638163,-0.049816071826564,0.111197456619651,-0.191896507718714
"2019-02-01",2019-02-01,1.82358396575468,0.523503700143356,0.698404829802654,0.313091131908837,0.105248141335571,0.0600623395500234
"2019-03-01",2019-03-01,3.8225438444583,0.735151183126207,0.794141085369091,0.518801961336045,0.111162916201215,1.53759595009336
"2019-04-01",2019-04-01,5.47018663003662,1.33123355216054,0.85719643253086,0.467244209547841,0.122632944930655,2.56418453760645
"2019-05-01",2019-05-01,5.08433678697968,1.30545902033198,0.840599918194412,0.224392876455421,0.126036275923931,2.4605932887419
"2019-06-01",2019-06-01,1.67337359012942,1.27166565851823,0.818839987983098,-0.634073563796338,0.122773676786294,-0.0289923530173858
"2019-07-01",2019-07-01,-0.00931316696679563,1.05952988788009,0.69712163191541,-0.599882708128888,0.122571721059725,-1.40977789389225
"2019-08-01",2019-08-01,-1.24715070372033,-0.128999189387728,0.301889356278247,-0.610213775307235,0.126190796991847,-1.05566072761994
"2019-09-01",2019-09-01,-1.65442466967303,-0.128356324658062,0.300384897061612,-0.648761863162401,0.141490794918756,-1.43833841884217
"2019-10-01",2019-10-01,-1.36395912106638,1.00530704659298,0.148760021757809,-0.938244623675909,0.0483568126441275,-1.74765653284429
"2019-11-01",2019-11-01,-1.43504615346154,1.01114299306843,0.105376275036403,-0.823149127514551,0.0434406719895052,-1.89128125506149
"2019-12-01",2019-12-01,1.2934736980897,0.824401679750378,0.0323830517333448,0.0402987873197047,0.033832946768138,0.239859837674518
"2020-01-01",2020-01-01,5.88557456568588,0.723172568883395,0,0.765023088174031,0.0526317612977881,4.37392718382444
"2020-02-01",2020-02-01,3.70405985878044,0.719764240938924,0,-0.441007807307521,0.0583494726810403,3.39601279991101
"2020-03-01",2020-03-01,-0.219041350452032,0.505766926765969,-0.0901458981602812,-1.81841681665458,0.0574017497909184,1.15616908503631
"2020-04-01",2020-04-01,-7.18915588874456,-0.368442387384018,-0.313343568969923,-3.85108199060107,0.0394180829009236,-2.6655361198475
"2020-05-01",2020-05-01,-11.0154266514813,-0.607647650843525,-0.546040278552842,-5.0483871994157,0.0502579491427949,-4.83278499327463
"2020-06-01",2020-06-01,-9.30351237938906,-0.656626081935989,-0.620638642442388,-3.74951032947119,0.0676738504342622,-4.31383520079232
"2020-07-01",2020-07-01,-6.50975289320328,-0.666577781941456,-0.630044923659815,-3.33754844306592,0.0860327478620432,-1.93194317489703
"2020-08-01",2020-08-01,-6.43197583186162,-0.666052438450707,-0.611571763324192,-3.26660197205933,0.080191748792606,-1.93814808667092
"2020-09-01",2020-09-01,-7.13339992271417,-0.665477726378094,-0.602063511725923,-3.66711250900815,0.0860488761820965,-2.25512750268402
"2020-10-01",2020-10-01,-6.84668359674621,0.922134748412737,-0.444357597971986,-4.21488060435889,0.182663184520128,-3.2612117315398
"2020-11-01",2020-11-01,-6.14282096959798,0.928156791145992,-0.491985444927036,-3.86813124551355,0.178110572383561,-2.85849695829751
"2020-12-01",2020-12-01,-8.38812005187843,0.92463597147224,-0.490119174001453,-3.19847937455243,0.177434937390278,-5.77139655277761
"2021-01-01",2021-01-01,-7.91729793701346,0.91448047438898,-0.474266752426822,-2.8685092758916,0.173537106494046,-5.58826110520268
"2021-02-01",2021-02-01,-4.59804881357627,0.929316820765115,-0.481961160356516,-1.31675285576304,0.178143938136978,-3.82924357835164
"2021-03-01",2021-03-01,1.06542291864802,0.950167300479169,-0.492774610810046,0.47441682292596,0.185997511122813,0.030607662379461
"2021-04-01",2021-04-01,8.04603731270288,2.19838588268391,-0.184813506215701,2.45845138104459,0.195698018984811,3.46879125939469
"2021-05-01",2021-05-01,12.3877395247193,2.53211926377809,0.324063075438261,4.39912551347839,0.231824401494972,4.99559837721932
